Title,Mileage,Year,Engine,Trans,Location,Ref_No,Model_Code,Steering,Fuel,Seats,Engine_Code,Color,Drive,Doors,Final_Price
2013 TOYOTA AURIS 150X S PACKAGE,78697,2013,1490.0,AT,Yokohama,Ref No. BT726413,DBA-NZE181H,Right,Petrol,5,1NZ,Maroon,2WD,5,3700.0
1994 MITSUBISHI MINICAB TRUCK,40340,1994,650.0,MT,Yokohama,Ref No. BT726451,V-U42T,Right,Petrol,2,3G83,White,4WD,2,1050.0
1997 DAIHATSU HIJET TRUCK,156246,1997,650.0,MT,Osaka,Ref No. BT726539,V-S100P,Right,Petrol,2,EF,White,,2,1450.0
2011 TOYOTA VITZ RS,146527,2011,1490.0,MT,Osaka,Ref No. BT645490,DBA-NCP131,Right,Petrol,5,1NZ,White,2WD,5,2270.0
2013 MAZDA CX-5 XD L PACKAGE,134886,2013,2180.0,AT,Kobe,Ref No. BT663667,LDA-KE2FW,Right,Diesel,5,SH,Pearl,2WD,5,3360.0
2016 BMW 2 SERIES 218D GRAN TOURER,116941,2016,1990.0,AT,Kobe,Ref No. BT740790,LDA-2E20,Right,Diesel,7,B47C20A,White,2WD,5,3150.0
2013 NISSAN JUKE 15RX TYPE V,106831,2013,1490.0,AT,Yokohama,Ref No. BT663782,DBA-YF15,Right,Petrol,5,HR15,Gray,2WD,5,2230.0
2013 NISSAN JUKE 15RX URBAN SELECTION,102643,2013,1490.0,AT,Yokohama,Ref No. BT663787,DBA-YF15,Right,Petrol,5,HR15,Black,2WD,5,2670.0
2009 TOYOTA VITZ F LIMITED 2,84638,2009,1290.0,AT,Yokohama,Ref No. BT665881,DBA-SCP90,Right,Petrol,5,2SZ,Silver,2WD,5,1470.0
2009 TOYOTA VITZ F LIMITED 2,123385,2009,1290.0,AT,Osaka,Ref No. BT665939,DBA-SCP90,Right,Petrol,5,2SZ,Purple,2WD,5,1320.0
2016 SUBARU IMPREZA SPORTS 1.6I,130747,2016,1590.0,MT,Nagoya,Ref No. BT698607,DBA-GP3,Right,Petrol,5,FB16,Blue,4WD,5,2140.0
2011 TOYOTA SIENTA DICE,178206,2011,1490.0,AT,Yokohama,Ref No. BT709189,DBA-NCP81G,Right,Petrol,7,1NZ,Maroon,2WD,5,1760.0
2015 NISSAN FUGA 250VIP,200145,2015,2490.0,AT,Yokohama,Ref No. BT726421,DBA-Y51,Right,Petrol,5,VQ25,Black,2WD,4,2110.0
2005 TOYOTA VITZ F,82295,2005,1290.0,AT,Kyushu,Ref No. BT726473,DBA-SCP90,Right,Petrol,5,2SZ,Silver,2WD,5,1230.0
2009 HONDA FREED G JUST SELECTION,142160,2009,1490.0,AT,Yokohama,Ref No. BT726684,DBA-GB3,Right,Petrol,7,L15A,Maroon,2WD,5,700.0
2005 TOYOTA VITZ F,85689,2005,1290.0,AT,Kobe,Ref No. BT740807,DBA-SCP90,Right,Petrol,5,2SZ,Beige,2WD,5,1230.0
2004 SUZUKI SWIFT SE-Z,33757,2004,1320.0,MT,Yokohama,Ref No. BT748772,UA-HT51S,Right,Petrol,5,M13A,Blue,,5,1310.0
2007 HONDA FIT G,51534,2007,1330.0,AT,Yokohama,Ref No. BT748886,DBA-GE6,Right,Petrol,5,L13A,Silver,2WD,5,1270.0
2003 HONDA FIT 1.5T,18087,2003,1490.0,AT,Kobe,Ref No. BT748832,LA-GD3,Right,Petrol,5,L15A,Black,2WD,5,1170.0
2014 HONDA VEZEL HYBRID X,249870,2014,1490.0,AT,Kobe,Ref No. BT665737,DAA-RU4,Right,Hybrid(Petrol),5,LEB-H1,Black,4WD,5,3710.0
2015 HONDA FIT HYBRID F PACKAGE,103313,2015,1490.0,AT,Kyushu,Ref No. BT666062,DAA-GP5,Right,Hybrid(Petrol),5,LEB-H1,Black,2WD,5,3270.0
2015 TOYOTA PASSO 1.0X L PACKAGE KIRIRI,203894,2015,990.0,AT,Kyushu,Ref No. BT666132,DBA-KGC30,Right,Petrol,5,1KR,Blue,2WD,5,3462.0
2016 DAIHATSU MIRA TX,118864,2016,650.0,AT,Yokohama,Ref No. BT715674,HBD-L275V,Right,Petrol,2,KF,White,,3,1080.0
2016 NISSAN WINGROAD 15S,150999,2016,1490.0,AT,Kyushu,Ref No. BT726745,DBA-Y12,Right,Petrol,5,HR15,Pearl,2WD,5,1840.0
2015 HONDA GRACE HYBRID EX,180970,2015,1490.0,AT,Osaka,Ref No. BT730453,DAA-GM5,Right,Hybrid(Petrol),5,LEB-H1,Silver,4WD,4,3640.0
2023 TOYOTA LAND CRUISER PRADO TX L PACKAGE,12290,2023,2690.0,AT,Yokohama,Ref No. BT599950,3BA-TRJ150W,Right,Petrol,7,2TR,Pearl,4WD,5,30900.0
2015 PORSCHE CAYENNE,105705,2015,3590.0,AT,Yokohama,Ref No. BT645453,ABA-92ACEY,Right,Petrol,5,CEY,White,4WD,5,11490.0
2024 HONDA VEZEL HYBRID E HEV X HUNT PACKAGE,100,2024,1490.0,AT,Kobe,Ref No. BT620139,6AA-RV5,Right,Hybrid(Petrol),5,LEC-H5,Black,,5,19440.0
2024 HONDA VEZEL HYBRID E HEV X,100,2024,1490.0,AT,Kobe,Ref No. BT620141,6AA-RV5,Right,Hybrid(Petrol),5,LEC-H5,Pearl,,5,19700.0
2003 TOYOTA COROLLA RUNX Z AERO TOURER,82751,2003,1790.0,AT,Kyushu,Ref No. BT305650,TA-ZZE123,Right,Petrol,5,2ZZ,Red,2WD,5,1970.0
2008 TOYOTA ALLION A18 G PACKAGE,130156,2008,1790.0,AT,Yokohama,Ref No. BT305861,DBA-ZRT260,Right,Petrol,5,2ZR,Silver,2WD,4,3150.0
2011 TOYOTA PREMIO 1.8X L PACKAGE,215615,2011,1790.0,AT,Osaka,Ref No. BT333010,DBA-ZRT265,Right,Petrol,5,2ZR,Pearl,4WD,4,3450.0
2000 TOYOTA REGIUS WAGON V PREMIUM EDITION,284887,2000,2980.0,AT,Osaka,Ref No. BT333165,KH-KCH40W,Right,Diesel,8,1KZ,Pearl,2WD,4,4789.0
2013 TOYOTA PREMIO 1.8X,112361,2013,1790.0,AT,Osaka,Ref No. BT332990,DBA-ZRT260,Right,Petrol,5,2ZR,Silver,2WD,4,4820.0
2014 PEUGEOT 208 PREMIUM,67113,2014,1190.0,AT,Yokohama,Ref No. BT600038,ABA-A9HM01,Right,Petrol,5,HM01,Blue,2WD,5,1740.0
2012 NISSAN ELGRAND 250 HIGHWAY STAR URBAN CHROME,204239,2012,2480.0,AT,Yokohama,Ref No. BT634681,DBA-TNE52,Right,Petrol,7,QR25,Pearl,4WD,5,1700.0
2002 TOYOTA TOYOACE,196577,2002,4610.0,MT,Kobe,Ref No. BT709206,KK-XZU322D,Right,Diesel,3,S05C,White,,2,5100.0
2012 KIA SPORTAGE R S.KEY S.TIRE,74786,2012,1995.0,AT,Korea,Ref No. BT743917,0,Left,Diesel,5,-,White,2WD,5,6220.0
2012 SUBARU IMPREZA SPORTS 1.6I-L,53274,2012,1590.0,AT,Yokohama,Ref No. BT715661,DBA-GP2,Right,Petrol,5,FB16,Blue,,5,1580.0
2011 MAZDA VERISA C,96270,2011,1490.0,AT,Kyushu,Ref No. BT708958,DBA-DC5W,Right,Petrol,5,ZY,Maroon,2WD,5,1350.0
1992 MITSUBISHI MINICAB TRUCK TU,18036,1992,650.0,MT,Osaka,Ref No. BT715307,V-U41T,Right,Petrol,2,3G83,White,,2,1090.0
2009 TOYOTA IST 150X,114315,2009,1490.0,AT,Nagoya,Ref No. BT715409,DBA-NCP110,Right,Petrol,5,1NZ,Pearl,2WD,5,2470.0
2012 TOYOTA REGIUSACE VAN B TYPE,155247,2012,1990.0,AT,Nagoya,Ref No. BT715421,CBF-TRH200K,Right,Petrol,10,1TR,White,2WD,4,5230.0
2006 TOYOTA HARRIER 240G,124801,2006,2360.0,AT,Yokohama,Ref No. BT715495,CBA-ACU30W,Right,Petrol,5,2AZ,Pearl,2WD,5,3900.0
2009 TOYOTA VOXY Z,157370,2009,1980.0,AT,Kobe,Ref No. BT665804,DBA-ZRR70W,Right,Petrol,8,3ZR,Pearl,2WD,5,1300.0
2003 TOYOTA IST 1.3F L EDITION,93276,2003,1290.0,AT,Nagoya,Ref No. BT654272,UA-NCP60,Right,Petrol,5,2NZ,Silver,2WD,5,1740.0
2013 TOYOTA HIACE VAN,205313,2013,2980.0,AT,Yokohama,Ref No. BT654819,LDF-KDH206K,Right,Diesel,10,1KD,White,4WD,4,5050.0
1999 HONDA LOGO,47512,1999,1340.0,AT,Yokohama,Ref No. BT663587,GF-GA5,Right,Petrol,5,D13B,Red,4WD,5,1050.0
2013 HONDA STEP WGN G,201919,2013,1990.0,AT,Yokohama,Ref No. BT663591,DBA-RK2,Right,Petrol,8,R20A,Black,4WD,5,1080.0
2017 SUBARU FORESTER 2.0I-L EYESIGHT,189107,2017,1990.0,AT,Yokohama,Ref No. BT663593,DBA-SJ5,Right,Petrol,5,FB20,Silver,4WD,5,5840.0
2008 TOYOTA SUCCEED WAGON TX,148466,2008,1490.0,AT,Yokohama,Ref No. BT663598,CBA-NCP59G,Right,Petrol,5,1NZ,White,4WD,5,1970.0
